Order Date,Ship Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Year,Order Month,Delivery Days
8/11/2016,11/11/2016,Second Class,Consumer,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.91,2016,November,3
8/11/2016,11/11/2016,Second Class,Consumer,Kentucky,South,Furniture,Chairs,731.94,3,0,219.58,2016,November,3
12/6/2016,16/6/2016,Second Class,Corporate,California,West,Office Supplies,Labels,14.62,2,0,6.87,2016,June,4
11/10/2015,18/10/2015,Standard Class,Consumer,Florida,South,Furniture,Tables,957.58,5,0.45,-383.03,2015,October,7
11/10/2015,18/10/2015,Standard Class,Consumer,Florida,South,Office Supplies,Storage,22.37,2,0.2,2.52,2015,October,7
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Furniture,Furnishings,48.86,7,0,14.17,2014,June,5
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Office Supplies,Art,7.28,4,0,1.97,2014,June,5
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Technology,Phones,907.15,6,0.2,90.72,2014,June,5
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Office Supplies,Binders,18.50,3,0.2,5.78,2014,June,5
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Office Supplies,Appliances,114.90,5,0,34.47,2014,June,5
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Furniture,Tables,1706.18,9,0.2,85.31,2014,June,5
9/6/2014,14/6/2014,Standard Class,Consumer,California,West,Technology,Phones,911.42,4,0.2,68.36,2014,June,5
15/4/2017,20/4/2017,Standard Class,Consumer,North Carolina,South,Office Supplies,Paper,15.55,3,0.2,5.44,2017,April,5
5/12/2016,10/12/2016,Standard Class,Consumer,Washington,West,Office Supplies,Binders,407.98,3,0.2,132.59,2016,December,5
22/11/2015,26/11/2015,Standard Class,Home Office,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.86,2015,November,4
22/11/2015,26/11/2015,Standard Class,Home Office,Texas,Central,Office Supplies,Binders,2.54,3,0.8,-3.82,2015,November,4
11/11/2014,18/11/2014,Standard Class,Consumer,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.32,2014,November,7
13/5/2014,15/5/2014,Second Class,Consumer,Utah,West,Office Supplies,Storage,55.50,2,0,9.99,2014,May,2
27/8/2014,1/9/2014,Second Class,Consumer,California,West,Office Supplies,Art,8.56,2,0,2.48,2014,August,5
27/8/2014,1/9/2014,Second Class,Consumer,California,West,Technology,Phones,213.48,3,0.2,16.01,2014,August,5
27/8/2014,1/9/2014,Second Class,Consumer,California,West,Office Supplies,Binders,22.72,4,0.2,7.38,2014,August,5
9/12/2016,13/12/2016,Standard Class,Corporate,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.06,2016,December,4
9/12/2016,13/12/2016,Standard Class,Corporate,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.69,2016,December,4
16/7/2017,18/7/2017,Second Class,Consumer,Pennsylvania,East,Furniture,Chairs,71.37,2,0.3,-1.02,2017,July,2
25/9/2015,30/9/2015,Standard Class,Consumer,Utah,West,Furniture,Tables,1044.63,3,0,240.26,2015,September,5
16/1/2016,20/1/2016,Second Class,Consumer,California,West,Office Supplies,Binders,11.65,2,0.2,4.22,2016,January,4
16/1/2016,20/1/2016,Second Class,Consumer,California,West,Technology,Accessories,90.57,3,0,11.77,2016,January,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.05,2015,September,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,9.62,2,0.7,-7.05,2015,September,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Furniture,Furnishings,124.20,3,0.2,15.53,2015,September,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Envelopes,3.26,2,0.2,1.10,2015,September,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,86.30,6,0.2,9.71,2015,September,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Binders,6.86,6,0.7,-5.72,2015,September,4
17/9/2015,21/9/2015,Standard Class,Consumer,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.55,2015,September,4
19/10/2017,23/10/2017,Second Class,Home Office,Texas,Central,Office Supplies,Paper,29.47,3,0.2,9.95,2017,October,4
8/12/2016,10/12/2016,First Class,Corporate,Texas,Central,Technology,Phones,1097.54,7,0.2,123.47,2016,December,2
8/12/2016,10/12/2016,First Class,Corporate,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.96,2016,December,2
27/12/2015,31/12/2015,Standard Class,Home Office,Texas,Central,Office Supplies,Envelopes,113.33,9,0.2,35.42,2015,December,4
27/12/2015,31/12/2015,Standard Class,Home Office,Texas,Central,Furniture,Bookcases,532.40,3,0.32,-46.98,2015,December,4
27/12/2015,31/12/2015,Standard Class,Home Office,Texas,Central,Furniture,Chairs,212.06,3,0.3,-15.15,2015,December,4
27/12/2015,31/12/2015,Standard Class,Home Office,Texas,Central,Technology,Phones,371.17,4,0.2,41.76,2015,December,4
10/9/2017,15/9/2017,Standard Class,Corporate,Illinois,Central,Technology,Phones,147.17,4,0.2,16.56,2017,September,5
17/7/2016,22/7/2016,Standard Class,Corporate,California,West,Office Supplies,Storage,77.88,2,0,3.89,2016,July,5
19/9/2017,23/9/2017,Standard Class,Corporate,Florida,South,Office Supplies,Storage,95.62,2,0.2,9.56,2017,September,4
11/3/2016,13/3/2016,First Class,Corporate,Minnesota,Central,Technology,Accessories,45.98,2,0,19.77,2016,March,2
11/3/2016,13/3/2016,First Class,Corporate,Minnesota,Central,Office Supplies,Binders,17.46,2,0,8.21,2016,March,2
20/10/2014,25/10/2014,Second Class,Consumer,Michigan,Central,Office Supplies,Storage,211.96,4,0,8.48,2014,October,5
20/6/2016,25/6/2016,Standard Class,Consumer,Delaware,East,Technology,Accessories,45.00,3,0,4.95,2016,June,5
20/6/2016,25/6/2016,Standard Class,Consumer,Delaware,East,Technology,Phones,21.80,2,0,6.10,2016,June,5
18/4/2015,22/4/2015,Standard Class,Consumer,Indiana,Central,Office Supplies,Binders,38.22,6,0,17.96,2015,April,4
