OrderMonth,OrderYear,ShipDuration,ShipMode,Segment,State,Category,SubCategory,Sales
11,2017,3,Second Class,Consumer,Kentucky,Furniture,Bookcases,261.96
11,2017,3,Second Class,Consumer,Kentucky,Furniture,Chairs,731.94
6,2017,4,Second Class,Corporate,California,Office Supplies,Labels,14.62
10,2016,7,Standard Class,Consumer,Florida,Furniture,Tables,957.58
10,2016,7,Standard Class,Consumer,Florida,Office Supplies,Storage,22.37
6,2015,5,Standard Class,Consumer,California,Furniture,Furnishings,48.86
6,2015,5,Standard Class,Consumer,California,Office Supplies,Art,7.28
6,2015,5,Standard Class,Consumer,California,Technology,Phones,907.15
6,2015,5,Standard Class,Consumer,California,Office Supplies,Binders,18.5
6,2015,5,Standard Class,Consumer,California,Office Supplies,Appliances,114.9
6,2015,5,Standard Class,Consumer,California,Furniture,Tables,1706.18
6,2015,5,Standard Class,Consumer,California,Technology,Phones,911.42
4,2018,5,Standard Class,Consumer,North Carolina,Office Supplies,Paper,15.55
12,2017,5,Standard Class,Consumer,Washington,Office Supplies,Binders,407.98
11,2016,4,Standard Class,Home Office,Texas,Office Supplies,Appliances,68.81
11,2016,4,Standard Class,Home Office,Texas,Office Supplies,Binders,2.54
11,2015,7,Standard Class,Consumer,Wisconsin,Office Supplies,Storage,665.88
5,2015,2,Second Class,Consumer,Utah,Office Supplies,Storage,55.5
8,2015,5,Second Class,Consumer,California,Office Supplies,Art,8.56
8,2015,5,Second Class,Consumer,California,Technology,Phones,213.48
8,2015,5,Second Class,Consumer,California,Office Supplies,Binders,22.72
12,2017,4,Standard Class,Corporate,Nebraska,Office Supplies,Art,19.46
12,2017,4,Standard Class,Corporate,Nebraska,Office Supplies,Appliances,60.34
7,2018,2,Second Class,Consumer,Pennsylvania,Furniture,Chairs,71.37
9,2016,5,Standard Class,Consumer,Utah,Furniture,Tables,1044.63
1,2017,4,Second Class,Consumer,California,Office Supplies,Binders,11.65
1,2017,4,Second Class,Consumer,California,Technology,Accessories,90.57
9,2016,4,Standard Class,Consumer,Pennsylvania,Furniture,Bookcases,3083.43
9,2016,4,Standard Class,Consumer,Pennsylvania,Office Supplies,Binders,9.62
9,2016,4,Standard Class,Consumer,Pennsylvania,Furniture,Furnishings,124.2
9,2016,4,Standard Class,Consumer,Pennsylvania,Office Supplies,Envelopes,3.26
9,2016,4,Standard Class,Consumer,Pennsylvania,Office Supplies,Art,86.3
9,2016,4,Standard Class,Consumer,Pennsylvania,Office Supplies,Binders,6.86
9,2016,4,Standard Class,Consumer,Pennsylvania,Office Supplies,Art,15.76
10,2018,4,Second Class,Home Office,Texas,Office Supplies,Paper,29.47
12,2017,2,First Class,Corporate,Texas,Technology,Phones,1097.54
12,2017,2,First Class,Corporate,Texas,Furniture,Furnishings,190.92
12,2016,4,Standard Class,Home Office,Texas,Office Supplies,Envelopes,113.33
12,2016,4,Standard Class,Home Office,Texas,Furniture,Bookcases,532.4
12,2016,4,Standard Class,Home Office,Texas,Furniture,Chairs,212.06
12,2016,4,Standard Class,Home Office,Texas,Technology,Phones,371.17
9,2018,5,Standard Class,Corporate,Illinois,Technology,Phones,147.17
7,2017,5,Standard Class,Corporate,California,Office Supplies,Storage,77.88
9,2018,4,Standard Class,Corporate,Florida,Office Supplies,Storage,95.62
