"year","month","sector","geothermalEnergy","solarEnergy","windEnergy","total_biomassEnergy","total_hydroelectricPower","total_biofuels","total_renewableEnergy"
"1973","1","Commerical","0","0","0","0.570","0","0","0.570"
"1973","1","Electric Power","0.49","0","0","0.211","88.522","0","89.223"
"1973","1","Industrial","0","0","0","98.933","1.04","0","99.973"
"1973","1","Residential","0","0","0","30.074","0","0","30.074"
"1973","1","Transportation","0","0","0","0.000","0","0","0.000"
"1973","2","Commerical","0","0","0","0.515","0","0","0.515"
"1973","2","Electric Power","0.448","0","0","0.301","78.582","0","79.331"
"1973","2","Industrial","0","0","0","89.359","0.962","0","90.321"
"1973","2","Residential","0","0","0","27.164","0","0","27.164"
"1973","2","Transportation","0","0","0","0.000","0","0","0.000"
"1973","3","Commerical","0","0","0","0.570","0","0","0.570"
"1973","3","Electric Power","0.464","0","0","0.362","87.22","0","88.046"
"1973","3","Industrial","0","0","0","98.933","1.064","0","99.997"
"1973","3","Residential","0","0","0","30.074","0","0","30.074"
"1973","3","Transportation","0","0","0","0.000","0","0","0.000"
"1973","4","Commerical","0","0","0","0.551","0","0","0.551"
"1973","4","Electric Power","0.542","0","0","0.240","82.136","0","82.918"
"1973","4","Industrial","0","0","0","95.741","1.016","0","96.757"
"1973","4","Residential","0","0","0","29.104","0","0","29.104"
"1973","4","Transportation","0","0","0","0.000","0","0","0.000"
"1973","5","Commerical","0","0","0","0.570","0","0","0.570"
"1973","5","Electric Power","0.505","0","0","0.258","84.594","0","85.357"
"1973","5","Industrial","0","0","0","98.933","1.049","0","99.982"
"1973","5","Residential","0","0","0","30.074","0","0","30.074"
"1973","5","Transportation","0","0","0","0.000","0","0","0.000"
"1973","6","Commerical","0","0","0","0.551","0","0","0.551"
"1973","6","Electric Power","0.579","0","0","0.215","81.042","0","81.836"
"1973","6","Industrial","0","0","0","95.741","1.018","0","96.759"
"1973","6","Residential","0","0","0","29.104","0","0","29.104"
"1973","6","Transportation","0","0","0","0.000","0","0","0.000"
"1973","7","Commerical","0","0","0","0.570","0","0","0.570"
"1973","7","Electric Power","0.614","0","0","0.210","76.493","0","77.317"
"1973","7","Industrial","0","0","0","98.933","0.906","0","99.839"
"1973","7","Residential","0","0","0","30.074","0","0","30.074"
"1973","7","Transportation","0","0","0","0.000","0","0","0.000"
"1973","8","Commerical","0","0","0","0.570","0","0","0.570"
"1973","8","Electric Power","0.579","0","0","0.341","72.06","0","72.980"
"1973","8","Industrial","0","0","0","98.933","0.875","0","99.808"
"1973","8","Residential","0","0","0","30.074","0","0","30.074"
"1973","8","Transportation","0","0","0","0.000","0","0","0.000"
"1973","9","Commerical","0","0","0","0.551","0","0","0.551"
"1973","9","Electric Power","0.49","0","0","0.385","58.265","0","59.140"
"1973","9","Industrial","0","0","0","95.741","0.764","0","96.505"
"1973","9","Residential","0","0","0","29.104","0","0","29.104"
"1973","9","Transportation","0","0","0","0.000","0","0","0.000"
"1973","10","Commerical","0","0","0","0.570","0","0","0.570"
"1973","10","Electric Power","0.578","0","0","0.393","62.134","0","63.105"
"1973","10","Industrial","0","0","0","98.933","0.832","0","99.765"
"1973","10","Residential","0","0","0","30.074","0","0","30.074"
"1973","10","Transportation","0","0","0","0.000","0","0","0.000"
"1973","11","Commerical","0","0","0","0.551","0","0","0.551"
"1973","11","Electric Power","0.62","0","0","0.246","68.186","0","69.052"
"1973","11","Industrial","0","0","0","95.741","0.876","0","96.617"
"1973","11","Residential","0","0","0","29.104","0","0","29.104"
"1973","11","Transportation","0","0","0","0.000","0","0","0.000"
"1973","12","Commerical","0","0","0","0.570","0","0","0.570"
"1973","12","Electric Power","0.8","0","0","0.248","89.113","0","90.161"
"1973","12","Industrial","0","0","0","98.933","1.018","0","99.951"
"1973","12","Residential","0","0","0","30.074","0","0","30.074"
"1973","12","Transportation","0","0","0","0.000","0","0","0.000"
"1974","1","Commerical","0","0","0","0.596","0","0","0.596"
"1974","1","Electric Power","0.704","0","0","0.263","98.474","0","99.441"
"1974","1","Industrial","0","0","0","98.442","1.026","0","99.468"
"1974","1","Residential","0","0","0","31.506","0","0","31.506"
"1974","1","Transportation","0","0","0","0.000","0","0","0.000"
"1974","2","Commerical","0","0","0","0.538","0","0","0.538"
"1974","2","Electric Power","0.621","0","0","0.181","90.539","0","91.341"
"1974","2","Industrial","0","0","0","88.915","0.937","0","89.852"
"1974","2","Residential","0","0","0","28.457","0","0","28.457"
"1974","2","Transportation","0","0","0","0.000","0","0","0.000"
"1974","3","Commerical","0","0","0","0.596","0","0","0.596"
"1974","3","Electric Power","0.707","0","0","0.184","93.946","0","94.837"
"1974","3","Industrial","0","0","0","98.442","1.004","0","99.446"
"1974","3","Residential","0","0","0","31.506","0","0","31.506"
"1974","3","Transportation","0","0","0","0.000","0","0","0.000"
"1974","4","Commerical","0","0","0","0.577","0","0","0.577"
"1974","4","Electric Power","0.666","0","0","0.250","94.977","0","95.893"
"1974","4","Industrial","0","0","0","95.266","0.992","0","96.258"
"1974","4","Residential","0","0","0","30.489","0","0","30.489"
"1974","4","Transportation","0","0","0","0.000","0","0","0.000"
"1974","5","Commerical","0","0","0","0.596","0","0","0.596"
"1974","5","Electric Power","0.667","0","0","0.245","95.314","0","96.226"
"1974","5","Industrial","0","0","0","98.442","1.023","0","99.465"
"1974","5","Residential","0","0","0","31.506","0","0","31.506"
"1974","5","Transportation","0","0","0","0.000","0","0","0.000"
"1974","6","Commerical","0","0","0","0.577","0","0","0.577"
"1974","6","Electric Power","0.645","0","0","0.279","90.766","0","91.690"
"1974","6","Industrial","0","0","0","95.266","0.953","0","96.219"
"1974","6","Residential","0","0","0","30.489","0","0","30.489"
"1974","6","Transportation","0","0","0","0.000","0","0","0.000"
"1974","7","Commerical","0","0","0","0.596","0","0","0.596"
"1974","7","Electric Power","0.716","0","0","0.213","89.566","0","90.495"
"1974","7","Industrial","0","0","0","98.442","0.871","0","99.313"
"1974","7","Residential","0","0","0","31.506","0","0","31.506"
"1974","7","Transportation","0","0","0","0.000","0","0","0.000"
"1974","8","Commerical","0","0","0","0.596","0","0","0.596"
"1974","8","Electric Power","0.707","0","0","0.220","81.907","0","82.834"
"1974","8","Industrial","0","0","0","98.442","0.819","0","99.261"
"1974","8","Residential","0","0","0","31.506","0","0","31.506"
"1974","8","Transportation","0","0","0","0.000","0","0","0.000"
"1974","9","Commerical","0","0","0","0.577","0","0","0.577"
"1974","9","Electric Power","0.653","0","0","0.304","72.829","0","73.786"
"1974","9","Industrial","0","0","0","95.266","0.781","0","96.047"
"1974","9","Residential","0","0","0","30.489","0","0","30.489"
"1974","9","Transportation","0","0","0","0.000","0","0","0.000"
"1974","10","Commerical","0","0","0","0.596","0","0","0.596"
"1974","10","Electric Power","0.663","0","0","0.174","68.189","0","69.026"
"1974","10","Industrial","0","0","0","98.442","0.742","0","99.184"
"1974","10","Residential","0","0","0","31.506","0","0","31.506"
"1974","10","Transportation","0","0","0","0.000","0","0","0.000"
"1974","11","Commerical","0","0","0","0.577","0","0","0.577"
"1974","11","Electric Power","0.789","0","0","0.174","72","0","72.963"
"1974","11","Industrial","0","0","0","95.266","0.773","0","96.039"
"1974","11","Residential","0","0","0","30.489","0","0","30.489"
"1974","11","Transportation","0","0","0","0.000","0","0","0.000"
"1974","12","Commerical","0","0","0","0.596","0","0","0.596"
"1974","12","Electric Power","0.83","0","0","0.130","78.613","0","79.573"
"1974","12","Industrial","0","0","0","98.442","0.929","0","99.371"
"1974","12","Residential","0","0","0","31.506","0","0","31.506"
"1974","12","Transportation","0","0","0","0.000","0","0","0.000"
"1975","1","Commerical","0","0","0","0.685","0","0","0.685"
"1975","1","Electric Power","0.694","0","0","0.148","85.339","0","86.181"
"1975","1","Industrial","0","0","0","90.305","1.017","0","91.322"
"1975","1","Residential","0","0","0","36.131","0","0","36.131"
"1975","1","Transportation","0","0","0","0.000","0","0","0.000"
"1975","2","Commerical","0","0","0","0.619","0","0","0.619"
"1975","2","Electric Power","0.662","0","0","0.124","81.498","0","82.284"
"1975","2","Industrial","0","0","0","81.566","0.905","0","82.471"
"1975","2","Residential","0","0","0","32.634","0","0","32.634"
"1975","2","Transportation","0","0","0","0.000","0","0","0.000"
"1975","3","Commerical","0","0","0","0.685","0","0","0.685"
"1975","3","Electric Power","0.747","0","0","0.130","95.434","0","96.311"
"1975","3","Industrial","0","0","0","90.305","0.952","0","91.257"
"1975","3","Residential","0","0","0","36.131","0","0","36.131"
"1975","3","Transportation","0","0","0","0.000","0","0","0.000"
"1975","4","Commerical","0","0","0","0.663","0","0","0.663"
"1975","4","Electric Power","0.748","0","0","0.119","90.842","0","91.709"
"1975","4","Industrial","0","0","0","87.392","0.949","0","88.341"
"1975","4","Residential","0","0","0","34.965","0","0","34.965"
"1975","4","Transportation","0","0","0","0.000","0","0","0.000"
"1975","5","Commerical","0","0","0","0.685","0","0","0.685"
"1975","5","Electric Power","0.812","0","0","0.182","94.558","0","95.552"
"1975","5","Industrial","0","0","0","90.305","1.023","0","91.328"
"1975","5","Residential","0","0","0","36.131","0","0","36.131"
"1975","5","Transportation","0","0","0","0.000","0","0","0.000"
"1975","6","Commerical","0","0","0","0.663","0","0","0.663"
"1975","6","Electric Power","1.007","0","0","0.221","92.611","0","93.839"
"1975","6","Industrial","0","0","0","87.392","0.938","0","88.330"
"1975","6","Residential","0","0","0","34.965","0","0","34.965"
"1975","6","Transportation","0","0","0","0.000","0","0","0.000"
"1975","7","Commerical","0","0","0","0.685","0","0","0.685"
"1975","7","Electric Power","1.013","0","0","0.167","87.08","0","88.260"
"1975","7","Industrial","0","0","0","90.305","0.821","0","91.126"
"1975","7","Residential","0","0","0","36.131","0","0","36.131"
"1975","7","Transportation","0","0","0","0.000","0","0","0.000"
"1975","8","Commerical","0","0","0","0.685","0","0","0.685"
"1975","8","Electric Power","1.099","0","0","0.201","77.153","0","78.453"
"1975","8","Industrial","0","0","0","90.305","0.739","0","91.044"
"1975","8","Residential","0","0","0","36.131","0","0","36.131"
"1975","8","Transportation","0","0","0","0.000","0","0","0.000"
"1975","9","Commerical","0","0","0","0.663","0","0","0.663"
"1975","9","Electric Power","0.969","0","0","0.190","70.012","0","71.171"
"1975","9","Industrial","0","0","0","87.392","0.744","0","88.136"
"1975","9","Residential","0","0","0","34.965","0","0","34.965"
"1975","9","Transportation","0","0","0","0.000","0","0","0.000"
"1975","10","Commerical","0","0","0","0.685","0","0","0.685"
"1975","10","Electric Power","1.117","0","0","0.191","77.244","0","78.552"
"1975","10","Industrial","0","0","0","90.305","0.816","0","91.121"
"1975","10","Residential","0","0","0","36.131","0","0","36.131"
"1975","10","Transportation","0","0","0","0.000","0","0","0.000"
"1975","11","Commerical","0","0","0","0.663","0","0","0.663"
"1975","11","Electric Power","1.085","0","0","0.160","83.352","0","84.597"
"1975","11","Industrial","0","0","0","87.392","0.818","0","88.210"
"1975","11","Residential","0","0","0","34.965","0","0","34.965"
"1975","11","Transportation","0","0","0","0.000","0","0","0.000"
"1975","12","Commerical","0","0","0","0.685","0","0","0.685"
"1975","12","Electric Power","1.124","0","0","0.156","88.635","0","89.915"
"1975","12","Industrial","0","0","0","90.305","0.875","0","91.180"
"1975","12","Residential","0","0","0","36.131","0","0","36.131"
"1975","12","Transportation","0","0","0","0.000","0","0","0.000"
"1976","1","Commerical","0","0","0","0.771","0","0","0.771"
"1976","1","Electric Power","1.119","0","0","0.162","88.95","0","90.231"
"1976","1","Industrial","0","0","0","103.323","0.954","0","104.277"
"1976","1","Residential","0","0","0","40.794","0","0","40.794"
