index,year,month,sector,hydroelectric_power,geothermal_energy,solar_energy,wind_energy,biomass_energy,total_renewable_energy
1,1973,1,Commerical,0,0,0,0,0.57,0.57
2,1973,1,Electric Power,0,0.49,0,0,0.211,89.223
3,1973,1,Industrial,1.04,0,0,0,98.933,99.973
4,1973,1,Residential,0,0,0,0,0,30.074
5,1973,1,Transportation,0,0,0,0,0,0
6,1973,2,Commerical,0,0,0,0,0.515,0.515
7,1973,2,Electric Power,0,0.448,0,0,0.301,79.331
8,1973,2,Industrial,0.962,0,0,0,89.359,90.32
9,1973,2,Residential,0,0,0,0,0,27.164
10,1973,2,Transportation,0,0,0,0,0,0
11,1973,3,Commerical,0,0,0,0,0.57,0.57
12,1973,3,Electric Power,0,0.464,0,0,0.362,88.046
13,1973,3,Industrial,1.064,0,0,0,98.933,99.997
14,1973,3,Residential,0,0,0,0,0,30.074
15,1973,3,Transportation,0,0,0,0,0,0
16,1973,4,Commerical,0,0,0,0,0.551,0.551
17,1973,4,Electric Power,0,0.542,0,0,0.24,82.917
18,1973,4,Industrial,1.016,0,0,0,95.741,96.758
19,1973,4,Residential,0,0,0,0,0,29.104
20,1973,4,Transportation,0,0,0,0,0,0
21,1973,5,Commerical,0,0,0,0,0.57,0.57
22,1973,5,Electric Power,0,0.505,0,0,0.258,85.357
23,1973,5,Industrial,1.049,0,0,0,98.933,99.981
24,1973,5,Residential,0,0,0,0,0,30.074
25,1973,5,Transportation,0,0,0,0,0,0
26,1973,6,Commerical,0,0,0,0,0.551,0.551
27,1973,6,Electric Power,0,0.579,0,0,0.214,81.835
28,1973,6,Industrial,1.018,0,0,0,95.741,96.759
29,1973,6,Residential,0,0,0,0,0,29.104
30,1973,6,Transportation,0,0,0,0,0,0
31,1973,7,Commerical,0,0,0,0,0.57,0.57
32,1973,7,Electric Power,0,0.614,0,0,0.21,77.317
33,1973,7,Industrial,0.906,0,0,0,98.933,99.839
34,1973,7,Residential,0,0,0,0,0,30.074
35,1973,7,Transportation,0,0,0,0,0,0
36,1973,8,Commerical,0,0,0,0,0.57,0.57
37,1973,8,Electric Power,0,0.579,0,0,0.341,72.98
38,1973,8,Industrial,0.875,0,0,0,98.933,99.808
39,1973,8,Residential,0,0,0,0,0,30.074
40,1973,8,Transportation,0,0,0,0,0,0
41,1973,9,Commerical,0,0,0,0,0.551,0.551
42,1973,9,Electric Power,0,0.49,0,0,0.385,59.14
43,1973,9,Industrial,0.764,0,0,0,95.741,96.505
44,1973,9,Residential,0,0,0,0,0,29.104
45,1973,9,Transportation,0,0,0,0,0,0
46,1973,10,Commerical,0,0,0,0,0.57,0.57
47,1973,10,Electric Power,0,0.578,0,0,0.393,63.106
48,1973,10,Industrial,0.832,0,0,0,98.933,99.765
49,1973,10,Residential,0,0,0,0,0,30.074
50,1973,10,Transportation,0,0,0,0,0,0
51,1973,11,Commerical,0,0,0,0,0.551,0.551
52,1973,11,Electric Power,0,0.62,0,0,0.246,69.053
53,1973,11,Industrial,0.876,0,0,0,95.741,96.618
54,1973,11,Residential,0,0,0,0,0,29.104
55,1973,11,Transportation,0,0,0,0,0,0
56,1973,12,Commerical,0,0,0,0,0.57,0.57
57,1973,12,Electric Power,0,0.8,0,0,0.248,90.161
58,1973,12,Industrial,1.018,0,0,0,98.933,99.951
59,1973,12,Residential,0,0,0,0,0,30.074
60,1973,12,Transportation,0,0,0,0,0,0
61,1974,1,Commerical,0,0,0,0,0.596,0.596
62,1974,1,Electric Power,0,0.704,0,0,0.263,99.441
63,1974,1,Industrial,1.026,0,0,0,98.442,99.467
64,1974,1,Residential,0,0,0,0,0,31.506
65,1974,1,Transportation,0,0,0,0,0,0
66,1974,2,Commerical,0,0,0,0,0.538,0.538
67,1974,2,Electric Power,0,0.621,0,0,0.181,91.341
68,1974,2,Industrial,0.937,0,0,0,88.915,89.852
69,1974,2,Residential,0,0,0,0,0,28.457
70,1974,2,Transportation,0,0,0,0,0,0
71,1974,3,Commerical,0,0,0,0,0.596,0.596
72,1974,3,Electric Power,0,0.707,0,0,0.184,94.837
73,1974,3,Industrial,1.004,0,0,0,98.442,99.446
74,1974,3,Residential,0,0,0,0,0,31.506
75,1974,3,Transportation,0,0,0,0,0,0
76,1974,4,Commerical,0,0,0,0,0.577,0.577
77,1974,4,Electric Power,0,0.666,0,0,0.25,95.894
78,1974,4,Industrial,0.992,0,0,0,95.266,96.258
79,1974,4,Residential,0,0,0,0,0,30.489
80,1974,4,Transportation,0,0,0,0,0,0
81,1974,5,Commerical,0,0,0,0,0.596,0.596
82,1974,5,Electric Power,0,0.667,0,0,0.245,96.226
83,1974,5,Industrial,1.023,0,0,0,98.442,99.465
84,1974,5,Residential,0,0,0,0,0,31.506
85,1974,5,Transportation,0,0,0,0,0,0
86,1974,6,Commerical,0,0,0,0,0.577,0.577
87,1974,6,Electric Power,0,0.645,0,0,0.279,91.69
88,1974,6,Industrial,0.953,0,0,0,95.266,96.219
89,1974,6,Residential,0,0,0,0,0,30.489
90,1974,6,Transportation,0,0,0,0,0,0
91,1974,7,Commerical,0,0,0,0,0.596,0.596
92,1974,7,Electric Power,0,0.716,0,0,0.213,90.494
93,1974,7,Industrial,0.871,0,0,0,98.442,99.313
94,1974,7,Residential,0,0,0,0,0,31.506
95,1974,7,Transportation,0,0,0,0,0,0
96,1974,8,Commerical,0,0,0,0,0.596,0.596
97,1974,8,Electric Power,0,0.707,0,0,0.22,82.834
98,1974,8,Industrial,0.819,0,0,0,98.442,99.261
99,1974,8,Residential,0,0,0,0,0,31.506
100,1974,8,Transportation,0,0,0,0,0,0
101,1974,9,Commerical,0,0,0,0,0.577,0.577
102,1974,9,Electric Power,0,0.653,0,0,0.305,73.787
103,1974,9,Industrial,0.781,0,0,0,95.266,96.047
104,1974,9,Residential,0,0,0,0,0,30.489
105,1974,9,Transportation,0,0,0,0,0,0
106,1974,10,Commerical,0,0,0,0,0.596,0.596
107,1974,10,Electric Power,0,0.663,0,0,0.174,69.027
108,1974,10,Industrial,0.742,0,0,0,98.442,99.184
109,1974,10,Residential,0,0,0,0,0,31.506
110,1974,10,Transportation,0,0,0,0,0,0
111,1974,11,Commerical,0,0,0,0,0.577,0.577
112,1974,11,Electric Power,0,0.789,0,0,0.174,72.963
113,1974,11,Industrial,0.773,0,0,0,95.266,96.039
114,1974,11,Residential,0,0,0,0,0,30.489
115,1974,11,Transportation,0,0,0,0,0,0
116,1974,12,Commerical,0,0,0,0,0.596,0.596
117,1974,12,Electric Power,0,0.83,0,0,0.13,79.573
118,1974,12,Industrial,0.929,0,0,0,98.442,99.371
119,1974,12,Residential,0,0,0,0,0,31.506
120,1974,12,Transportation,0,0,0,0,0,0
121,1975,1,Commerical,0,0,0,0,0.685,0.685
122,1975,1,Electric Power,0,0.694,0,0,0.148,86.181
123,1975,1,Industrial,1.017,0,0,0,90.305,91.322
124,1975,1,Residential,0,0,0,0,0,36.131
125,1975,1,Transportation,0,0,0,0,0,0
126,1975,2,Commerical,0,0,0,0,0.619,0.619
127,1975,2,Electric Power,0,0.662,0,0,0.124,82.284
128,1975,2,Industrial,0.905,0,0,0,81.566,82.471
129,1975,2,Residential,0,0,0,0,0,32.634
130,1975,2,Transportation,0,0,0,0,0,0
131,1975,3,Commerical,0,0,0,0,0.685,0.685
132,1975,3,Electric Power,0,0.747,0,0,0.13,96.311
133,1975,3,Industrial,0.952,0,0,0,90.305,91.257
134,1975,3,Residential,0,0,0,0,0,36.131
135,1975,3,Transportation,0,0,0,0,0,0
136,1975,4,Commerical,0,0,0,0,0.663,0.663
137,1975,4,Electric Power,0,0.748,0,0,0.119,91.709
138,1975,4,Industrial,0.949,0,0,0,87.392,88.341
139,1975,4,Residential,0,0,0,0,0,34.965
140,1975,4,Transportation,0,0,0,0,0,0
141,1975,5,Commerical,0,0,0,0,0.685,0.685
142,1975,5,Electric Power,0,0.812,0,0,0.182,95.552
143,1975,5,Industrial,1.023,0,0,0,90.305,91.328
144,1975,5,Residential,0,0,0,0,0,36.131
145,1975,5,Transportation,0,0,0,0,0,0
146,1975,6,Commerical,0,0,0,0,0.663,0.663
147,1975,6,Electric Power,0,1.007,0,0,0.221,93.839
148,1975,6,Industrial,0.938,0,0,0,87.392,88.331
149,1975,6,Residential,0,0,0,0,0,34.965
150,1975,6,Transportation,0,0,0,0,0,0
151,1975,7,Commerical,0,0,0,0,0.685,0.685
152,1975,7,Electric Power,0,1.013,0,0,0.167,88.26
153,1975,7,Industrial,0.821,0,0,0,90.305,91.126
154,1975,7,Residential,0,0,0,0,0,36.131
155,1975,7,Transportation,0,0,0,0,0,0
156,1975,8,Commerical,0,0,0,0,0.685,0.685
157,1975,8,Electric Power,0,1.099,0,0,0.2,78.452
158,1975,8,Industrial,0.739,0,0,0,90.305,91.044
159,1975,8,Residential,0,0,0,0,0,36.131
160,1975,8,Transportation,0,0,0,0,0,0
161,1975,9,Commerical,0,0,0,0,0.663,0.663
162,1975,9,Electric Power,0,0.969,0,0,0.19,71.17
163,1975,9,Industrial,0.744,0,0,0,87.392,88.136
164,1975,9,Residential,0,0,0,0,0,34.965
165,1975,9,Transportation,0,0,0,0,0,0
166,1975,10,Commerical,0,0,0,0,0.685,0.685
167,1975,10,Electric Power,0,1.117,0,0,0.192,78.552
168,1975,10,Industrial,0.816,0,0,0,90.305,91.121
169,1975,10,Residential,0,0,0,0,0,36.131
170,1975,10,Transportation,0,0,0,0,0,0
171,1975,11,Commerical,0,0,0,0,0.663,0.663
172,1975,11,Electric Power,0,1.085,0,0,0.16,84.597
173,1975,11,Industrial,0.818,0,0,0,87.392,88.21
174,1975,11,Residential,0,0,0,0,0,34.965
175,1975,11,Transportation,0,0,0,0,0,0
176,1975,12,Commerical,0,0,0,0,0.685,0.685
177,1975,12,Electric Power,0,1.124,0,0,0.156,89.916
178,1975,12,Industrial,0.875,0,0,0,90.305,91.18
179,1975,12,Residential,0,0,0,0,0,36.131
180,1975,12,Transportation,0,0,0,0,0,0
181,1976,1,Commerical,0,0,0,0,0.771,0.771
182,1976,1,Electric Power,0,1.119,0,0,0.162,90.232
183,1976,1,Industrial,0.954,0,0,0,103.323,104.277
184,1976,1,Residential,0,0,0,0,0,40.794
185,1976,1,Transportation,0,0,0,0,0,0
186,1976,2,Commerical,0,0,0,0,0.721,0.721
187,1976,2,Electric Power,0,1.053,0,0,0.155,84.872
188,1976,2,Industrial,0.963,0,0,0,96.657,97.619
189,1976,2,Residential,0,0,0,0,0,38.162
190,1976,2,Transportation,0,0,0,0,0,0
191,1976,3,Commerical,0,0,0,0,0.771,0.771
192,1976,3,Electric Power,0,1.127,0,0,0.163,91.922
193,1976,3,Industrial,0.997,0,0,0,103.323,104.32
194,1976,3,Residential,0,0,0,0,0,40.794
195,1976,3,Transportation,0,0,0,0,0,0
196,1976,4,Commerical,0,0,0,0,0.746,0.746
197,1976,4,Electric Power,0,1.015,0,0,0.149,83.519
198,1976,4,Industrial,1.024,0,0,0,99.99,101.013
199,1976,4,Residential,0,0,0,0,0,39.478
200,1976,4,Transportation,0,0,0,0,0,0
201,1976,5,Commerical,0,0,0,0,0.771,0.771
202,1976,5,Electric Power,0,0.97,0,0,0.159,88.19
203,1976,5,Industrial,1.004,0,0,0,103.323,104.327
204,1976,5,Residential,0,0,0,0,0,40.794
205,1976,5,Transportation,0,0,0,0,0,0
206,1976,6,Commerical,0,0,0,0,0.746,0.746
207,1976,6,Electric Power,0,1.008,0,0,0.191,88.419
208,1976,6,Industrial,0.962,0,0,0,99.99,100.952
209,1976,6,Residential,0,0,0,0,0,39.478
210,1976,6,Transportation,0,0,0,0,0,0
211,1976,7,Commerical,0,0,0,0,0.771,0.771
212,1976,7,Electric Power,0,1.089,0,0,0.2,90.219
213,1976,7,Industrial,0.877,0,0,0,103.323,104.2
214,1976,7,Residential,0,0,0,0,0,40.794
215,1976,7,Transportation,0,0,0,0,0,0
216,1976,8,Commerical,0,0,0,0,0.771,0.771
217,1976,8,Electric Power,0,1.072,0,0,0.223,82.646
218,1976,8,Industrial,0.803,0,0,0,103.323,104.125
219,1976,8,Residential,0,0,0,0,0,40.794
220,1976,8,Transportation,0,0,0,0,0,0
221,1976,9,Commerical,0,0,0,0,0.746,0.746
222,1976,9,Electric Power,0,1.044,0,0,0.222,70.761
223,1976,9,Industrial,0.69,0,0,0,99.99,100.68
224,1976,9,Residential,0,0,0,0,0,39.478
225,1976,9,Transportation,0,0,0,0,0,0
226,1976,10,Commerical,0,0,0,0,0.771,0.771
227,1976,10,Electric Power,0,1.014,0,0,0.226,73.032
228,1976,10,Industrial,0.899,0,0,0,103.323,104.222
229,1976,10,Residential,0,0,0,0,0,40.794
230,1976,10,Transportation,0,0,0,0,0,0
231,1976,11,Commerical,0,0,0,0,0.746,0.746
232,1976,11,Electric Power,0,0.854,0,0,0.437,68.862
233,1976,11,Industrial,0.892,0,0,0,99.99,100.882
234,1976,11,Residential,0,0,0,0,0,39.478
235,1976,11,Transportation,0,0,0,0,0,0
236,1976,12,Commerical,0,0,0,0,0.771,0.771
237,1976,12,Electric Power,0,0.975,0,0,0.476,70.439
238,1976,12,Industrial,0.912,0,0,0,103.323,104.235
239,1976,12,Residential,0,0,0,0,0,40.794
240,1976,12,Transportation,0,0,0,0,0,0
241,1977,1,Commerical,0,0,0,0,0.874,0.874
242,1977,1,Electric Power,0,1.057,0,0,0.514,72.201
